location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','6530108','Charlotte-1224494','2025-01-02T16:00:00-05:00','35.2271','-80.8431','temperature','c','11.270833253860474']
['1235978','6530108','Charlotte-1224494','2025-01-02T20:00:00-05:00','35.2271','-80.8431','temperature','c','5.627777735392253']
['1235978','6530108','Charlotte-1224494','2025-01-03T00:00:00-05:00','35.2271','-80.8431','temperature','c','3.6416666309038797']
['1235978','7973146','Charlotte-1224494','2025-01-02T04:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','170.0']
['1235978','7973146','Charlotte-1224494','2025-01-02T08:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','307.375']
['1235978','7973146','Charlotte-1224494','2025-01-02T12:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','440.75']
['1235978','7973146','Charlotte-1224494','2025-01-02T16:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','455.125']
['1235978','7973146','Charlotte-1224494','2025-01-02T20:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','1297.6666666666667']
['1235978','7973146','Charlotte-1224494','2025-01-03T00:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','1494.25']
['1235978','7970962','Charlotte-2490581','2025-01-03T03:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','17.458333333333332']
