location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['location_id','sensors_id','location','datetime','lat','lon','parameter','units','value']
['1235978','7970962','Charlotte-2490581','2025-01-01T04:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','0.08333333333333333']
['1235978','7970962','Charlotte-2490581','2025-01-01T08:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','0.9166666666666666']
['1235978','7970962','Charlotte-2490581','2025-01-01T12:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','0.5416666666666666']
['1235978','7970962','Charlotte-2490581','2025-01-01T16:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','1.25']
['1235978','7970962','Charlotte-2490581','2025-01-01T20:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','2.625']
['1235978','7970962','Charlotte-2490581','2025-01-02T00:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','3.1666666666666665']
['1235978','6530128','Charlotte-1224494','2025-01-01T04:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','0.08333333333333333']
['1235978','6530128','Charlotte-1224494','2025-01-01T08:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','0.8333333333333334']
['1235978','6530128','Charlotte-1224494','2025-01-01T12:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','0.4583333333333333']
['1235978','6530128','Charlotte-1224494','2025-01-01T16:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','1.25']
['1235978','6530128','Charlotte-1224494','2025-01-01T20:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','2.5']
['1235978','6530128','Charlotte-1224494','2025-01-02T00:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','3.0416666666666665']
['1235978','7970784','Charlotte-2490581','2025-01-01T04:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','0.0']
['1235978','7970784','Charlotte-2490581','2025-01-01T08:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','0.08333333333333333']
['1235978','7970784','Charlotte-2490581','2025-01-01T12:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','0.125']
['1235978','7970784','Charlotte-2490581','2025-01-01T16:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','0.25']
['1235978','7970784','Charlotte-2490581','2025-01-01T20:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','1.2083333333333333']
['1235978','7970784','Charlotte-2490581','2025-01-02T00:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','0.625']
['1235978','7973164','Charlotte-1224494','2025-01-01T04:00:00-05:00','35.2271','-80.8431','relativehumidity','%','45.870834032694496']
['1235978','7973164','Charlotte-1224494','2025-01-01T08:00:00-05:00','35.2271','-80.8431','relativehumidity','%','53.791666666666664']
['1235978','7973164','Charlotte-1224494','2025-01-01T12:00:00-05:00','35.2271','-80.8431','relativehumidity','%','21.53333330154419']
['1235978','7973164','Charlotte-1224494','2025-01-01T16:00:00-05:00','35.2271','-80.8431','relativehumidity','%','29.50416660308838']
['1235978','7973164','Charlotte-1224494','2025-01-01T20:00:00-05:00','35.2271','-80.8431','relativehumidity','%','35.77916590372721']
['1235978','7973164','Charlotte-1224494','2025-01-02T00:00:00-05:00','35.2271','-80.8431','relativehumidity','%','47.76249980926514']
['1235978','6530108','Charlotte-1224494','2025-01-01T04:00:00-05:00','35.2271','-80.8431','temperature','c','9.68333331743876']
['1235978','6530108','Charlotte-1224494','2025-01-01T08:00:00-05:00','35.2271','-80.8431','temperature','c','7.237499952316284']
['1235978','6530108','Charlotte-1224494','2025-01-01T12:00:00-05:00','35.2271','-80.8431','temperature','c','22.762499968210857']
['1235978','6530108','Charlotte-1224494','2025-01-01T16:00:00-05:00','35.2271','-80.8431','temperature','c','13.920833349227905']
['1235978','6530108','Charlotte-1224494','2025-01-01T20:00:00-05:00','35.2271','-80.8431','temperature','c','9.633333285649618']
['1235978','6530108','Charlotte-1224494','2025-01-02T00:00:00-05:00','35.2271','-80.8431','temperature','c','6.162500023841858']
['1235978','7973146','Charlotte-1224494','2025-01-01T04:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','76.5']
['1235978','7973146','Charlotte-1224494','2025-01-01T08:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','147.0']
['1235978','7973146','Charlotte-1224494','2025-01-01T12:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','146.25']
