location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7973164','Charlotte-1224494','2025-01-02T03:00:00-05:00','35.2271','-80.8431','relativehumidity','%','46.97083377838135']
['1235978','7973164','Charlotte-1224494','2025-01-02T07:00:00-05:00','35.2271','-80.8431','relativehumidity','%','55.19583288828532']
['1235978','7973164','Charlotte-1224494','2025-01-02T11:00:00-05:00','35.2271','-80.8431','relativehumidity','%','29.204167048136394']
['1235978','7973164','Charlotte-1224494','2025-01-02T15:00:00-05:00','35.2271','-80.8431','relativehumidity','%','21.658332983652752']
['1235978','7973164','Charlotte-1224494','2025-01-02T19:00:00-05:00','35.2271','-80.8431','relativehumidity','%','34.259091117165305']
['1235978','7973164','Charlotte-1224494','2025-01-02T23:00:00-05:00','35.2271','-80.8431','relativehumidity','%','50.32499980926514']
['1235978','6530108','Charlotte-1224494','2025-01-02T03:00:00-05:00','35.2271','-80.8431','temperature','c','4.6958333651224775']
['1235978','6530108','Charlotte-1224494','2025-01-02T07:00:00-05:00','35.2271','-80.8431','temperature','c','2.3583333492279053']
['1235978','6530108','Charlotte-1224494','2025-01-02T11:00:00-05:00','35.2271','-80.8431','temperature','c','14.754166523615519']
['1235978','6530108','Charlotte-1224494','2025-01-02T15:00:00-05:00','35.2271','-80.8431','temperature','c','13.212500015894571']
