location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7973146','Charlotte-1224494','2025-01-01T14:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','132.0']
['1235978','7973146','Charlotte-1224494','2025-01-01T18:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','566.0']
['1235978','7973146','Charlotte-1224494','2025-01-01T22:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','394.0']
['1235978','7970962','Charlotte-2490581','2025-01-02T01:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','2.1666666666666665']
['1235978','7970962','Charlotte-2490581','2025-01-02T05:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','0.8333333333333334']
['1235978','7970962','Charlotte-2490581','2025-01-02T09:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','3.6666666666666665']
['1235978','7970962','Charlotte-2490581','2025-01-02T13:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','3.375']
['1235978','7970962','Charlotte-2490581','2025-01-02T17:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','3.3333333333333335']
['1235978','7970962','Charlotte-2490581','2025-01-02T21:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','21.125']
['1235978','6530128','Charlotte-1224494','2025-01-02T01:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','2.0833333333333335']
['1235978','6530128','Charlotte-1224494','2025-01-02T05:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','0.8333333333333334']
['1235978','6530128','Charlotte-1224494','2025-01-02T09:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','3.5']
['1235978','6530128','Charlotte-1224494','2025-01-02T13:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','3.2916666666666665']
