location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','6530108','Charlotte-1224494','2025-01-02T17:00:00-05:00','35.2271','-80.8431','temperature','c','10.866666634877523']
['1235978','6530108','Charlotte-1224494','2025-01-02T21:00:00-05:00','35.2271','-80.8431','temperature','c','4.616666674613953']
['1235978','7973146','Charlotte-1224494','2025-01-02T01:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','238.875']
['1235978','7973146','Charlotte-1224494','2025-01-02T05:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','158.5']
['1235978','7973146','Charlotte-1224494','2025-01-02T09:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','344.125']
['1235978','7973146','Charlotte-1224494','2025-01-02T13:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','449.5']
['1235978','7973146','Charlotte-1224494','2025-01-02T17:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','383.875']
['1235978','7973146','Charlotte-1224494','2025-01-02T21:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','1641.625']
['location_id','sensors_id','location','datetime','lat','lon','parameter','units','value']
['1235978','7970962','Charlotte-2490581','2025-01-03T04:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','18.041666666666668']
