location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7973146','Charlotte-1224494','2025-01-01T15:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','144.375']
['1235978','7973146','Charlotte-1224494','2025-01-01T19:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','1281.25']
['1235978','7973146','Charlotte-1224494','2025-01-01T23:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','367.125']
['1235978','7970962','Charlotte-2490581','2025-01-02T02:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','1.9166666666666667']
['1235978','7970962','Charlotte-2490581','2025-01-02T06:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','1.5416666666666667']
['1235978','7970962','Charlotte-2490581','2025-01-02T10:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','3.2916666666666665']
['1235978','7970962','Charlotte-2490581','2025-01-02T14:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','4.541666666666667']
['1235978','7970962','Charlotte-2490581','2025-01-02T18:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','3.125']
['1235978','7970962','Charlotte-2490581','2025-01-02T22:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','16.75']
['1235978','6530128','Charlotte-1224494','2025-01-02T02:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','1.7916666666666667']
['1235978','6530128','Charlotte-1224494','2025-01-02T06:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','1.25']
['1235978','6530128','Charlotte-1224494','2025-01-02T10:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','3.0416666666666665']
['1235978','6530128','Charlotte-1224494','2025-01-02T14:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','4.291666666666667']
