location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7970962','Charlotte-2490581','2025-01-01T01:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','4.916666666666667']
['1235978','7970962','Charlotte-2490581','2025-01-01T05:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','0.125']
['1235978','7970962','Charlotte-2490581','2025-01-01T09:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','0.625']
['1235978','7970962','Charlotte-2490581','2025-01-01T13:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','0.3333333333333333']
['1235978','7970962','Charlotte-2490581','2025-01-01T17:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','2.7083333333333335']
['1235978','7970962','Charlotte-2490581','2025-01-01T21:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','2.6666666666666665']
['1235978','6530128','Charlotte-1224494','2025-01-01T01:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','4.875']
['1235978','6530128','Charlotte-1224494','2025-01-01T05:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','0.08333333333333333']
['1235978','6530128','Charlotte-1224494','2025-01-01T09:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','0.625']
['1235978','6530128','Charlotte-1224494','2025-01-01T13:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','0.2916666666666667']
['1235978','6530128','Charlotte-1224494','2025-01-01T17:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','2.6666666666666665']
['1235978','6530128','Charlotte-1224494','2025-01-01T21:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','2.5416666666666665']
['1235978','7970784','Charlotte-2490581','2025-01-01T01:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','2.3333333333333335']
['1235978','7970784','Charlotte-2490581','2025-01-01T05:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','0.0']
['1235978','7970784','Charlotte-2490581','2025-01-01T09:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','0.041666666666666664']
['1235978','7970784','Charlotte-2490581','2025-01-01T13:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','0.0']
['1235978','7970784','Charlotte-2490581','2025-01-01T17:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','1.0833333333333333']
['1235978','7970784','Charlotte-2490581','2025-01-01T21:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','0.75']
['1235978','7973164','Charlotte-1224494','2025-01-01T01:00:00-05:00','35.2271','-80.8431','relativehumidity','%','46.21249961853027']
['1235978','7973164','Charlotte-1224494','2025-01-01T05:00:00-05:00','35.2271','-80.8431','relativehumidity','%','46.00833384195963']
['1235978','7973164','Charlotte-1224494','2025-01-01T09:00:00-05:00','35.2271','-80.8431','relativehumidity','%','56.82500012715658']
['1235978','7973164','Charlotte-1224494','2025-01-01T13:00:00-05:00','35.2271','-80.8431','relativehumidity','%','20.62916660308838']
['1235978','7973164','Charlotte-1224494','2025-01-01T17:00:00-05:00','35.2271','-80.8431','relativehumidity','%','30.154167016347248']
['1235978','7973164','Charlotte-1224494','2025-01-01T21:00:00-05:00','35.2271','-80.8431','relativehumidity','%','37.72500069936117']
['1235978','6530108','Charlotte-1224494','2025-01-01T01:00:00-05:00','35.2271','-80.8431','temperature','c','11.633333524068197']
['1235978','6530108','Charlotte-1224494','2025-01-01T05:00:00-05:00','35.2271','-80.8431','temperature','c','9.229166507720947']
['1235978','6530108','Charlotte-1224494','2025-01-01T09:00:00-05:00','35.2271','-80.8431','temperature','c','6.920833309491475']
['1235978','6530108','Charlotte-1224494','2025-01-01T13:00:00-05:00','35.2271','-80.8431','temperature','c','22.4333332379659']
['1235978','6530108','Charlotte-1224494','2025-01-01T17:00:00-05:00','35.2271','-80.8431','temperature','c','13.0']
['1235978','6530108','Charlotte-1224494','2025-01-01T21:00:00-05:00','35.2271','-80.8431','temperature','c','8.712499936421713']
['1235978','7973146','Charlotte-1224494','2025-01-01T01:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','537.5']
['1235978','7973146','Charlotte-1224494','2025-01-01T05:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','85.0']
['1235978','7973146','Charlotte-1224494','2025-01-01T09:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','127.125']
['1235978','7973146','Charlotte-1224494','2025-01-01T13:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','121.875']
