location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','6530108','Charlotte-1224494','2025-01-02T18:00:00-05:00','35.2271','-80.8431','temperature','c','9.37499992052714']
['1235978','6530108','Charlotte-1224494','2025-01-02T22:00:00-05:00','35.2271','-80.8431','temperature','c','3.9499999483426413']
['1235978','7973146','Charlotte-1224494','2025-01-02T02:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','200.25']
['1235978','7973146','Charlotte-1224494','2025-01-02T06:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','174.875']
['1235978','7973146','Charlotte-1224494','2025-01-02T10:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','291.625']
['1235978','7973146','Charlotte-1224494','2025-01-02T14:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','523.625']
['1235978','7973146','Charlotte-1224494','2025-01-02T18:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','339.75']
['1235978','7973146','Charlotte-1224494','2025-01-02T22:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','1397.75']
['1235978','7970962','Charlotte-2490581','2025-01-03T01:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','15.916666666666666']
['1235978','7970962','Charlotte-2490581','2025-01-03T05:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','18.375']
