location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7973146','Charlotte-1224494','2025-01-01T16:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','186.0']
['1235978','7973146','Charlotte-1224494','2025-01-01T20:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','357.0']
['1235978','7973146','Charlotte-1224494','2025-01-02T00:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','285.75']
['1235978','7970962','Charlotte-2490581','2025-01-02T03:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','1.0833333333333333']
['1235978','7970962','Charlotte-2490581','2025-01-02T07:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','3.2916666666666665']
['1235978','7970962','Charlotte-2490581','2025-01-02T11:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','3.375']
['1235978','7970962','Charlotte-2490581','2025-01-02T15:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','4.75']
['1235978','7970962','Charlotte-2490581','2025-01-02T19:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','14.363636363636363']
['1235978','7970962','Charlotte-2490581','2025-01-02T23:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','25.75']
['1235978','6530128','Charlotte-1224494','2025-01-02T03:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','1.0833333333333333']
['1235978','6530128','Charlotte-1224494','2025-01-02T07:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','3.0833333333333335']
['1235978','6530128','Charlotte-1224494','2025-01-02T11:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','3.25']
['1235978','6530128','Charlotte-1224494','2025-01-02T15:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','4.708333333333333']
