location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7970962','Charlotte-2490581','2025-01-01T02:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','1.9583333333333333']
['1235978','7970962','Charlotte-2490581','2025-01-01T06:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','0.3333333333333333']
['1235978','7970962','Charlotte-2490581','2025-01-01T10:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','0.20833333333333334']
['1235978','7970962','Charlotte-2490581','2025-01-01T14:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','0.7083333333333334']
['1235978','7970962','Charlotte-2490581','2025-01-01T18:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','5.083333333333333']
['1235978','7970962','Charlotte-2490581','2025-01-01T22:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','4.625']
['1235978','6530128','Charlotte-1224494','2025-01-01T02:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','1.7083333333333333']
['1235978','6530128','Charlotte-1224494','2025-01-01T06:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','0.375']
['1235978','6530128','Charlotte-1224494','2025-01-01T10:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','0.16666666666666666']
['1235978','6530128','Charlotte-1224494','2025-01-01T14:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','0.7083333333333334']
['1235978','6530128','Charlotte-1224494','2025-01-01T18:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','4.708333333333333']
['1235978','6530128','Charlotte-1224494','2025-01-01T22:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','4.25']
['1235978','7970784','Charlotte-2490581','2025-01-01T02:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','0.6666666666666666']
['1235978','7970784','Charlotte-2490581','2025-01-01T06:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','0.0']
['1235978','7970784','Charlotte-2490581','2025-01-01T10:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','0.0']
['1235978','7970784','Charlotte-2490581','2025-01-01T14:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','0.0']
['1235978','7970784','Charlotte-2490581','2025-01-01T18:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','2.5416666666666665']
['1235978','7970784','Charlotte-2490581','2025-01-01T22:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','1.4583333333333333']
['1235978','7973164','Charlotte-1224494','2025-01-01T02:00:00-05:00','35.2271','-80.8431','relativehumidity','%','45.15000057220459']
['1235978','7973164','Charlotte-1224494','2025-01-01T06:00:00-05:00','35.2271','-80.8431','relativehumidity','%','46.45416704813639']
['1235978','7973164','Charlotte-1224494','2025-01-01T10:00:00-05:00','35.2271','-80.8431','relativehumidity','%','50.02916653951009']
['1235978','7973164','Charlotte-1224494','2025-01-01T14:00:00-05:00','35.2271','-80.8431','relativehumidity','%','24.5625']
['1235978','7973164','Charlotte-1224494','2025-01-01T18:00:00-05:00','35.2271','-80.8431','relativehumidity','%','33.72083250681559']
['1235978','7973164','Charlotte-1224494','2025-01-01T22:00:00-05:00','35.2271','-80.8431','relativehumidity','%','43.13750076293945']
['1235978','6530108','Charlotte-1224494','2025-01-01T02:00:00-05:00','35.2271','-80.8431','temperature','c','11.141666650772095']
['1235978','6530108','Charlotte-1224494','2025-01-01T06:00:00-05:00','35.2271','-80.8431','temperature','c','8.920833349227905']
['1235978','6530108','Charlotte-1224494','2025-01-01T10:00:00-05:00','35.2271','-80.8431','temperature','c','9.37499996026357']
['1235978','6530108','Charlotte-1224494','2025-01-01T14:00:00-05:00','35.2271','-80.8431','temperature','c','17.979166348775227']
['1235978','6530108','Charlotte-1224494','2025-01-01T18:00:00-05:00','35.2271','-80.8431','temperature','c','11.787499904632568']
['1235978','6530108','Charlotte-1224494','2025-01-01T22:00:00-05:00','35.2271','-80.8431','temperature','c','7.337500095367432']
['1235978','7973146','Charlotte-1224494','2025-01-01T02:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','278.875']
['1235978','7973146','Charlotte-1224494','2025-01-01T06:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','93.375']
['1235978','7973146','Charlotte-1224494','2025-01-01T10:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','83.625']
