location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7973146','Charlotte-1224494','2025-01-01T17:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','351.125']
['1235978','7973146','Charlotte-1224494','2025-01-01T21:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','317.375']
['location_id','sensors_id','location','datetime','lat','lon','parameter','units','value']
['1235978','7970962','Charlotte-2490581','2025-01-02T04:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','1.5416666666666667']
['1235978','7970962','Charlotte-2490581','2025-01-02T08:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','3.2083333333333335']
['1235978','7970962','Charlotte-2490581','2025-01-02T12:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','3.5416666666666665']
['1235978','7970962','Charlotte-2490581','2025-01-02T16:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','3.5']
['1235978','7970962','Charlotte-2490581','2025-01-02T20:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','15.666666666666666']
['1235978','7970962','Charlotte-2490581','2025-01-03T00:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','18.75']
['1235978','6530128','Charlotte-1224494','2025-01-02T04:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','1.4166666666666667']
['1235978','6530128','Charlotte-1224494','2025-01-02T08:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','2.9166666666666665']
['1235978','6530128','Charlotte-1224494','2025-01-02T12:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','3.4583333333333335']
