location_id,sensors_id,location,datetime,lat,lon,parameter,units,value
['1235978','7970962','Charlotte-2490581','2025-01-01T03:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','0.625']
['1235978','7970962','Charlotte-2490581','2025-01-01T07:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','0.5']
['1235978','7970962','Charlotte-2490581','2025-01-01T11:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','0.20833333333333334']
['1235978','7970962','Charlotte-2490581','2025-01-01T15:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','0.7916666666666666']
['1235978','7970962','Charlotte-2490581','2025-01-01T19:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','14.041666666666666']
['1235978','7970962','Charlotte-2490581','2025-01-01T23:00:00-05:00','35.2271','-80.8431','pm10','µg/m³','3.6666666666666665']
['1235978','6530128','Charlotte-1224494','2025-01-01T03:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','0.625']
['1235978','6530128','Charlotte-1224494','2025-01-01T07:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','0.375']
['1235978','6530128','Charlotte-1224494','2025-01-01T11:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','0.16666666666666666']
['1235978','6530128','Charlotte-1224494','2025-01-01T15:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','0.7916666666666666']
['1235978','6530128','Charlotte-1224494','2025-01-01T19:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','13.375']
['1235978','6530128','Charlotte-1224494','2025-01-01T23:00:00-05:00','35.2271','-80.8431','pm25','µg/m³','3.5833333333333335']
['1235978','7970784','Charlotte-2490581','2025-01-01T03:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','0.0']
['1235978','7970784','Charlotte-2490581','2025-01-01T07:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','0.0']
['1235978','7970784','Charlotte-2490581','2025-01-01T11:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','0.0']
['1235978','7970784','Charlotte-2490581','2025-01-01T15:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','0.041666666666666664']
['1235978','7970784','Charlotte-2490581','2025-01-01T19:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','8.0']
['1235978','7970784','Charlotte-2490581','2025-01-01T23:00:00-05:00','35.2271','-80.8431','pm1','µg/m³','1.3333333333333333']
['1235978','7973164','Charlotte-1224494','2025-01-01T03:00:00-05:00','35.2271','-80.8431','relativehumidity','%','45.975000063578285']
['1235978','7973164','Charlotte-1224494','2025-01-01T07:00:00-05:00','35.2271','-80.8431','relativehumidity','%','49.64166704813639']
['1235978','7973164','Charlotte-1224494','2025-01-01T11:00:00-05:00','35.2271','-80.8431','relativehumidity','%','30.079166094462078']
['1235978','7973164','Charlotte-1224494','2025-01-01T15:00:00-05:00','35.2271','-80.8431','relativehumidity','%','27.675000190734863']
['1235978','7973164','Charlotte-1224494','2025-01-01T19:00:00-05:00','35.2271','-80.8431','relativehumidity','%','34.72499942779541']
['1235978','7973164','Charlotte-1224494','2025-01-01T23:00:00-05:00','35.2271','-80.8431','relativehumidity','%','48.125000635782875']
['1235978','6530108','Charlotte-1224494','2025-01-01T03:00:00-05:00','35.2271','-80.8431','temperature','c','10.354166666666666']
['1235978','6530108','Charlotte-1224494','2025-01-01T07:00:00-05:00','35.2271','-80.8431','temperature','c','8.100000023841858']
['1235978','6530108','Charlotte-1224494','2025-01-01T11:00:00-05:00','35.2271','-80.8431','temperature','c','19.175000111262005']
['1235978','6530108','Charlotte-1224494','2025-01-01T15:00:00-05:00','35.2271','-80.8431','temperature','c','15.954166571299234']
['1235978','6530108','Charlotte-1224494','2025-01-01T19:00:00-05:00','35.2271','-80.8431','temperature','c','10.545833349227905']
['1235978','6530108','Charlotte-1224494','2025-01-01T23:00:00-05:00','35.2271','-80.8431','temperature','c','6.0916666984558105']
['1235978','7973146','Charlotte-1224494','2025-01-01T03:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','121.375']
['1235978','7973146','Charlotte-1224494','2025-01-01T07:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','106.125']
['1235978','7973146','Charlotte-1224494','2025-01-01T11:00:00-05:00','35.2271','-80.8431','um003','particles/cm³','94.875']
