datetime,location,lat,lon,pm1,pm10,pm25,relativehumidity,temperature,um003,pm25_zscore,temperature_zscore,relativehumidity_zscore
2025-01-01T01:00:00-05:00,Charlotte-2490581,35.23,-80.84,4.92,,2.33,45.16,10.87,,-0.45,-0.01,0.02
2025-01-01T01:00:00-05:00,Charlotte-1224494,35.23,-80.84,,4.88,3.12,46.21,11.63,537.5,-0.19,0.14,0.11
2025-01-01T02:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.71,3.12,45.15,11.14,278.88,-0.19,0.04,0.02
2025-01-01T02:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.96,,0.67,45.16,10.87,,-0.99,-0.01,0.02
2025-01-01T03:00:00-05:00,Charlotte-2490581,35.23,-80.84,0.62,,0.0,45.16,10.87,,-1.21,-0.01,0.02
2025-01-01T03:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.62,3.12,45.98,10.35,121.38,-0.19,-0.12,0.09
2025-01-01T04:00:00-05:00,Charlotte-2490581,35.23,-80.84,0.08,,0.0,45.16,10.87,,-1.21,-0.01,0.02
2025-01-01T04:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.08,3.12,45.87,9.68,76.5,-0.19,-0.25,0.08
2025-01-01T05:00:00-05:00,Charlotte-2490581,35.23,-80.84,0.12,,0.0,45.16,10.87,,-1.21,-0.01,0.02
2025-01-01T05:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.08,3.12,46.01,9.23,85.0,-0.19,-0.34,0.09
2025-01-01T06:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.38,3.12,46.45,8.92,93.38,-0.19,-0.41,0.12
2025-01-01T06:00:00-05:00,Charlotte-2490581,35.23,-80.84,0.33,,0.0,45.16,10.87,,-1.21,-0.01,0.02
2025-01-01T07:00:00-05:00,Charlotte-2490581,35.23,-80.84,0.5,,0.0,45.16,10.87,,-1.21,-0.01,0.02
2025-01-01T07:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.38,3.12,49.64,8.1,106.12,-0.19,-0.57,0.38
2025-01-01T08:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.83,3.12,53.79,7.24,147.0,-0.19,-0.75,0.72
2025-01-01T08:00:00-05:00,Charlotte-2490581,35.23,-80.84,0.92,,0.08,45.16,10.87,,-1.18,-0.01,0.02
2025-01-01T09:00:00-05:00,Charlotte-2490581,35.23,-80.84,0.62,,0.04,45.16,10.87,,-1.19,-0.01,0.02
2025-01-01T09:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.62,3.12,56.83,6.92,127.12,-0.19,-0.81,0.97
2025-01-01T10:00:00-05:00,Charlotte-2490581,35.23,-80.84,0.21,,0.0,45.16,10.87,,-1.21,-0.01,0.02
2025-01-01T10:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.17,3.12,50.03,9.37,83.62,-0.19,-0.32,0.42
2025-01-01T11:00:00-05:00,Charlotte-2490581,35.23,-80.84,0.21,,0.0,45.16,10.87,,-1.21,-0.01,0.02
2025-01-01T11:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.17,3.12,30.08,19.18,94.88,-0.19,1.68,-1.21
2025-01-01T12:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.46,3.12,21.53,22.76,146.25,-0.19,2.41,-1.91
2025-01-01T12:00:00-05:00,Charlotte-2490581,35.23,-80.84,0.54,,0.12,45.16,10.87,,-1.17,-0.01,0.02
2025-01-01T13:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.29,3.12,20.63,22.43,121.88,-0.19,2.34,-1.98
2025-01-01T13:00:00-05:00,Charlotte-2490581,35.23,-80.84,0.33,,0.0,45.16,10.87,,-1.21,-0.01,0.02
2025-01-01T14:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.71,3.12,24.56,17.98,132.0,-0.19,1.44,-1.66
2025-01-01T14:00:00-05:00,Charlotte-2490581,35.23,-80.84,0.71,,0.0,45.16,10.87,,-1.21,-0.01,0.02
2025-01-01T15:00:00-05:00,Charlotte-2490581,35.23,-80.84,0.79,,0.04,45.16,10.87,,-1.19,-0.01,0.02
2025-01-01T15:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.79,3.12,27.68,15.95,144.38,-0.19,1.02,-1.4
2025-01-01T16:00:00-05:00,Charlotte-2490581,35.23,-80.84,1.25,,0.25,45.16,10.87,,-1.12,-0.01,0.02
2025-01-01T16:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.25,3.12,29.5,13.92,186.0,-0.19,0.61,-1.26
2025-01-01T17:00:00-05:00,Charlotte-1224494,35.23,-80.84,,2.67,3.12,30.15,13.0,351.12,-0.19,0.42,-1.2
2025-01-01T17:00:00-05:00,Charlotte-2490581,35.23,-80.84,2.71,,1.08,45.16,10.87,,-0.85,-0.01,0.02
2025-01-01T18:00:00-05:00,Charlotte-1224494,35.23,-80.84,,4.71,3.12,33.72,11.79,566.0,-0.19,0.18,-0.91
2025-01-01T18:00:00-05:00,Charlotte-2490581,35.23,-80.84,5.08,,2.54,45.16,10.87,,-0.38,-0.01,0.02
