datetime,location,lat,lon,pm1,pm10,pm25,relativehumidity,temperature,um003,pm25_zscore,temperature_zscore,relativehumidity_zscore,date,hour,pm25_rolling_avg_3,pm25_lag_1,pm25_rate_of_change
2025-01-01 01:00:00-05:00,Charlotte-1224494,35.23,-80.84,,4.88,3.12,46.21,11.63,537.5,-0.19,0.14,0.11,2025-01-01,1,3.12,,
2025-01-01 02:00:00-05:00,Charlotte-1224494,35.23,-80.84,,1.71,3.12,45.15,11.14,278.88,-0.19,0.04,0.02,2025-01-01,2,3.12,3.12,0.0
2025-01-01 03:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.62,3.12,45.98,10.35,121.38,-0.19,-0.12,0.09,2025-01-01,3,3.12,3.12,0.0
2025-01-01 04:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.08,3.12,45.87,9.68,76.5,-0.19,-0.25,0.08,2025-01-01,4,3.12,3.12,0.0
2025-01-01 05:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.08,3.12,46.01,9.23,85.0,-0.19,-0.34,0.09,2025-01-01,5,3.12,3.12,0.0
2025-01-01 06:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.38,3.12,46.45,8.92,93.38,-0.19,-0.41,0.12,2025-01-01,6,3.12,3.12,0.0
2025-01-01 07:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.38,3.12,49.64,8.1,106.12,-0.19,-0.57,0.38,2025-01-01,7,3.12,3.12,0.0
2025-01-01 08:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.83,3.12,53.79,7.24,147.0,-0.19,-0.75,0.72,2025-01-01,8,3.12,3.12,0.0
2025-01-01 09:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.62,3.12,56.83,6.92,127.12,-0.19,-0.81,0.97,2025-01-01,9,3.12,3.12,0.0
2025-01-01 10:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.17,3.12,50.03,9.37,83.62,-0.19,-0.32,0.42,2025-01-01,10,3.12,3.12,0.0
2025-01-01 11:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.17,3.12,30.08,19.18,94.88,-0.19,1.68,-1.21,2025-01-01,11,3.12,3.12,0.0
2025-01-01 12:00:00-05:00,Charlotte-1224494,35.23,-80.84,,0.46,3.12,21.53,22.76,146.25,-0.19,2.41,-1.91,2025-01-01,12,3.12,3.12,0.0
